Location,Status,Reviewer,Rating,Relative time,Scraping time,Review
Gaasperplas,official,Diazepam,4 stars,2 weeks ago,"2023-11-06,20:13:46",NA
Gaasperplas,official,Misier Warsha,5 stars,4 weeks ago,"2023-11-06,20:13:46",NA
Gaasperplas,official,Gisela Zabala,5 stars,4 weeks ago,"2023-11-06,20:13:46",Hermoso  parque  muy tranquilo
Gaasperplas,official,kazik szerszen,5 stars,a month ago,"2023-11-06,20:13:46",Polecam
Gaasperplas,official,Jacek Lipiec,5 stars,a month ago,"2023-11-06,20:13:46",NA
Gaasperplas,official,Hagar Donners,5 stars,a month ago,"2023-11-06,20:13:46",NA
Gaasperplas,official,Hugo Leitão,5 stars,a month ago,"2023-11-06,20:13:46","Beautiful area of Amsterdam. Near Krainnest and Biljmer Arena. Also a nice camping park, river and soul rounding"
Gaasperplas,official,SebastianGompka,5 stars,2 months ago,"2023-11-06,20:13:46",NA
Gaasperplas,official,Caro,4 stars,2 months ago,"2023-11-06,20:13:46",Lovely Lake
Gaasperplas,official,Kevin Scott,4 stars,2 months ago,"2023-11-06,20:13:46",NA
Gaasperplas,official,Riccardo Corinna,5 stars,2 months ago,"2023-11-06,20:13:46","Home, the lake is full of beaches, perfect for a walk in the woods"
Gaasperplas,official,Wróżka Anna,5 stars,3 months ago,"2023-11-06,20:13:46","Piękne i odpowiednie miejsce na odpoczynek na łonie natury lub integrację w grupie, na spacery samotne lub z drugą osobą, na piknik i bieganie, czysto, zielono i blisko zwierząt"
Gaasperplas,official,Angela Raalte,5 stars,3 months ago,"2023-11-06,20:13:46",Heerlijk om te zwemmen......
Gaasperplas,official,Domi Verhagen Domi Verhagen,5 stars,3 months ago,"2023-11-06,20:13:46",Het honden strandje is goud waard
Gaasperplas,official,Gustavo Delatorre,5 stars,4 months ago,"2023-11-06,20:13:46",Relaxed atmosphere and enjoyable scenary.
Gaasperplas,official,farhad nl,5 stars,4 months ago,"2023-11-06,20:13:47",NA
Gaasperplas,official,S Ranjkar,5 stars,4 months ago,"2023-11-06,20:13:47",Great pace to be with friends and family
Gaasperplas,official,Anita Gobardhan,4 stars,5 months ago,"2023-11-06,20:13:47",Rustige plaats
Gaasperplas,official,Jane,3 stars,5 months ago,"2023-11-06,20:13:47",NA
Gaasperplas,official,Iris Vuurmans,4 stars,7 months ago,"2023-11-06,20:13:47",NA
Gaasperplas,official,Mateusz Mateusz,5 stars,7 months ago,"2023-11-06,20:13:47",NA
Gaasperplas,official,lady vmg,4 stars,7 months ago,"2023-11-06,20:13:47","Agradable lugar para visitar en primavera y verano, vista muy relajada"
Gaasperplas,official,Magna Drowaa Fokuo,4 stars,10 months ago,"2023-11-06,20:13:47",NA
Gaasperplas,official,Iris Homer,5 stars,11 months ago,"2023-11-06,20:13:47",As advertised. A lake. Pretty good one at that
Gaasperplas,official,Jan Javurek,5 stars,a year ago,"2023-11-06,20:13:47",NA
Gaasperplas,official,Nancy Castro,5 stars,a year ago,"2023-11-06,20:13:47","Hermoso parque,tranquilo,seguro,la gente pesca y nada...se observan aves y peces!recomendado para visitar como tantos parques naturales de esta bella Ámsterdam 🇳🇱👏 …"
Gaasperplas,official,RJ Lackie,5 stars,a year ago,"2023-11-06,20:13:47",NA
Gaasperplas,official,V,5 stars,a year ago,"2023-11-06,20:13:47","Heerlijk zwemmen, wandelen, hond uitlaten en genieten van natuur!"
Gaasperplas,official,Angelique Deshield,5 stars,a year ago,"2023-11-06,20:13:47",NA
Gaasperplas,official,Trinity Picault,5 stars,a year ago,"2023-11-06,20:13:47",Great!
Gaasperplas,official,Rilana Habets,5 stars,a year ago,"2023-11-06,20:13:47",NA
Gaasperplas,official,Marc De Lange,5 stars,a year ago,"2023-11-06,20:13:47",heerlijk fris
Gaasperplas,official,Wafaa Af,5 stars,a year ago,"2023-11-06,20:13:47",NA
Gaasperplas,official,Erwin Wilbers,4 stars,a year ago,"2023-11-06,20:13:47",NA
Gaasperplas,official,Renato Diniz,5 stars,a year ago,"2023-11-06,20:13:47",this place is beautiful... the river has transparent water and if possible stay until sunset 🌞 an unforgettable image. …
Gaasperplas,official,William Bastemeyer,4 stars,a year ago,"2023-11-06,20:13:47","Love this place, have had a lot of Family  BBQ's here. Nice park for a all ages. Must see place. This have had some changes over the year, yet it is the same."
Gaasperplas,official,Teun Verhaar,4 stars,a year ago,"2023-11-06,20:13:47",NA
Gaasperplas,official,Fariek Jahangier,5 stars,a year ago,"2023-11-06,20:13:47",NA
Gaasperplas,official,Tom van Hattum,5 stars,a year ago,"2023-11-06,20:13:47",Heerlijk ravotten met de homd
Gaasperplas,official,Camila Tovar V,5 stars,a year ago,"2023-11-06,20:13:47","So beautiful park to walk, run or have a bbq, picnic"
Gaasperplas,official,J.L. Vos,4 stars,a year ago,"2023-11-06,20:13:47",Mooi natuur gebied en dat in Amsterdam.
Gaasperplas,official,Dennis Zuidervaart,4 stars,a year ago,"2023-11-06,20:13:47","kan hier lekker rustig wandelen, picnikken bbqen....en eventueel zwemmen."
Gaasperplas,official,Saloni Sharma,5 stars,a year ago,"2023-11-06,20:13:48",NA
Gaasperplas,official,Marlou van Hoorn,4 stars,a year ago,"2023-11-06,20:13:48",Ook mooi voor wandeling.
Gaasperplas,official,Sebastian Faust,5 stars,a year ago,"2023-11-06,20:13:48",Parken und ab in die Innenstadt
Gaasperplas,official,adem tutucu,5 stars,a year ago,"2023-11-06,20:13:48",NA
Gaasperplas,official,Catering Amsterdam,4 stars,a year ago,"2023-11-06,20:13:48",NA
Gaasperplas,official,Mo Flip,5 stars,a year ago,"2023-11-06,20:13:48",NA
Gaasperplas,official,Michel Official,4 stars,a year ago,"2023-11-06,20:13:48",Rustig plaats
Gaasperplas,official,Natalie van Ham,5 stars,a year ago,"2023-11-06,20:13:48",Rondje Gaasperplas = een uur wandelen of half uurtje joggen :)
Gaasperplas,official,Marinus van Cappellen,5 stars,a year ago,"2023-11-06,20:13:48",NA
Gaasperplas,official,Clara Favero,4 stars,a year ago,"2023-11-06,20:13:48",NA
Gaasperplas,official,Olga Arjona,5 stars,a year ago,"2023-11-06,20:13:48",Espectacular
Gaasperplas,official,John Sebastian Lopez Useche,4 stars,a year ago,"2023-11-06,20:13:48",NA
Gaasperplas,official,René de Groot,5 stars,2 years ago,"2023-11-06,20:13:48",Mijn favoriete stuk natuur. Heerlijk om rond de plas te wandelen.
Gaasperplas,official,ishu mehta,4 stars,2 years ago,"2023-11-06,20:13:48",Visited the park. There is a small artificial beach there. However the park is not well maintained I think.
Gaasperplas,official,Ιορδάνης Σακαλάκης,5 stars,2 years ago,"2023-11-06,20:13:48",NA
Gaasperplas,official,VA R.,5 stars,2 years ago,"2023-11-06,20:13:48",Het Gaasperplas is een mooie verbindingsplaats tussen Amsterdam Zuidoost en Weesp. Een leuke locatie voor hardlopers en fietsers.
Gaasperplas,official,Mascha Pronk,5 stars,2 years ago,"2023-11-06,20:13:48",NA
Gaasperplas,official,Roberto Serra,5 stars,2 years ago,"2023-11-06,20:13:48",NA
Gaasperplas,official,Felix Thoen,5 stars,2 years ago,"2023-11-06,20:13:48",NA
Gaasperplas,official,Dibyarup Bera,5 stars,2 years ago,"2023-11-06,20:13:48","You will understand what peace is. If you are disturbed or irritated, come and visit this place. Green and blue will give relief to your mind"
Gaasperplas,official,Charlotte Lambourg,5 stars,2 years ago,"2023-11-06,20:13:48","Really nice park/lake/forest-ish to walk, run,bike around and swim. Also possible to windsurf here. Overall a nice walk!"
Gaasperplas,official,Nestor Neto,5 stars,2 years ago,"2023-11-06,20:13:48",NA
Gaasperplas,official,Gourav Sinha,5 stars,2 years ago,"2023-11-06,20:13:48",NA
