name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Amsterdam,2011-06-01,18.2,7,13.4,18.2,5.8,13.2,6.3,66.2,0,0,0,,0,0,31.2,17.5,319.9,1029.4,12.5,25.7,355.8,30.7,9,,2011-06-01T05:24:47,2011-06-01T21:52:12,0,Clear,Clear conditions throughout the day.,clear-day,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
Amsterdam,2011-06-02,20.6,6.6,15.2,20.6,5.6,15.1,8.5,67.2,0,0,0,,0,0,37.6,23.5,35.3,1033.4,2.7,25.6,345.5,30,9,,2011-06-02T05:23:57,2011-06-02T21:53:18,0.02,Clear,Clear conditions throughout the day.,clear-day,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
Amsterdam,2011-06-03,23.5,13.3,18,23.5,13.3,18,12.9,73.2,0,0,0,,0,0,52.4,34,45.5,1030.8,16.7,21.8,342.6,29.6,9,,2011-06-03T05:23:10,2011-06-03T21:54:23,0.06,Clear,Clear conditions throughout the day.,clear-day,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
Amsterdam,2011-06-04,26.1,15.5,20.2,26.1,15.5,20.2,13.9,68.8,0,0,0,,0,0,52.4,33.9,39.7,1020.8,7.3,28.3,315.9,27.4,9,,2011-06-04T05:22:26,2011-06-04T21:55:25,0.09,Clear,Clear conditions throughout the day.,clear-day,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
Amsterdam,2011-06-05,19.6,13.5,16,19.6,13.5,16,13.4,84.6,2.864,100,8.33,rain,0,0,48.5,29.6,27.7,1010.3,78,16.3,164.4,14,6,,2011-06-05T05:21:45,2011-06-05T21:56:25,0.13,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"06260099999,06348099999,06249099999,06240099999,06269099999"
Amsterdam,2011-06-06,18.1,12.8,15.3,18.1,12.8,15.3,13.4,88.4,2.813,100,4.17,rain,0,0,26.7,19.2,351.7,1003.5,97.9,9,190.3,16.2,6,,2011-06-06T05:21:07,2011-06-06T21:57:22,0.16,"Rain, Overcast",Cloudy skies throughout the day with afternoon rain.,rain,"06260099999,06348099999,06249099999,06240099999,06269099999"
Amsterdam,2011-06-07,18.8,11.5,15,18.8,11.5,15,11.1,77.8,0.71,100,4.17,rain,0,0,28,14.1,227.9,1005.3,91.2,15,302.4,26.1,9,,2011-06-07T05:20:32,2011-06-07T21:58:17,0.2,"Rain, Overcast",Cloudy skies throughout the day with early morning rain.,rain,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
Amsterdam,2011-06-08,17.2,11.7,14.4,17.2,11.7,14.4,9.5,74.4,2.918,100,8.33,rain,0,0,44.5,29.9,256.9,1006.5,67.2,18.6,238.2,20.7,7,,2011-06-08T05:20:00,2011-06-08T21:59:10,0.23,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
Amsterdam,2011-06-09,17.7,10.8,14.5,17.7,10.8,14.5,7.8,66.1,0.022,100,4.17,rain,0,0,44.2,26.9,240.2,1013.2,44.9,23.5,323.3,27.9,9,,2011-06-09T05:19:32,2011-06-09T22:00:00,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
Amsterdam,2011-06-10,19.8,8.4,13.4,19.8,7.4,13.1,8.3,73.7,2.188,100,4.17,rain,0,0,32.7,14.6,176.7,1015.1,67.9,21.2,202,17.4,7,,2011-06-10T05:19:06,2011-06-10T22:00:47,0.31,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
Amsterdam,2011-06-11,14.9,9.6,12.1,14.9,7.8,11.8,8.2,77.7,9.264,100,12.5,rain,0,0,39.2,26.6,235,1015.8,68.5,23.9,242.6,21.1,7,,2011-06-11T05:18:44,2011-06-11T22:01:31,0.34,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
Amsterdam,2011-06-12,17.6,8,13.6,17.6,6.4,13.2,6.9,66.8,0,0,0,,0,0,34.3,23.7,186.6,1017.9,37.6,24,315.6,27.2,9,,2011-06-12T05:18:25,2011-06-12T22:02:13,0.38,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
Amsterdam,2011-06-13,19,13,15.9,19,13,15.9,12.4,80.4,0.489,100,12.5,rain,0,0,47.5,30,201.1,1013.2,91.5,26.5,223.7,19.3,7,,2011-06-13T05:18:09,2011-06-13T22:02:51,0.41,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
Amsterdam,2011-06-14,19.1,12.4,16.1,19.1,12.4,16.1,10.5,71.1,0,0,0,,0,0,38.2,14.6,301.5,1018,46.5,24.7,329.2,28.4,8,,2011-06-14T05:17:56,2011-06-14T22:03:27,0.45,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
Amsterdam,2011-06-15,21.5,10.6,16.3,21.5,10.6,16.3,12.2,77.6,1.232,100,4.17,rain,0,0,38.4,26.7,223.9,1016.3,67.3,21.3,158.8,13.9,4,,2011-06-15T05:17:46,2011-06-15T22:04:00,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
Amsterdam,2011-06-16,17.3,13.9,15.6,17.3,13.9,15.6,13.2,85.6,19.621,100,12.5,rain,0,0,49.4,31.4,223.6,1010.9,96.6,19.4,178,15.5,8,,2011-06-16T05:17:40,2011-06-16T22:04:30,0.52,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
Amsterdam,2011-06-17,17.2,12.9,14.9,17.2,12.9,14.9,10.1,73.9,3.758,100,8.33,rain,0,0,48.2,26.2,205.3,1010.7,71.2,23.8,206.9,17.9,7,,2011-06-17T05:17:37,2011-06-17T22:04:57,0.55,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
Amsterdam,2011-06-18,16.9,12.5,14.5,16.9,12.5,14.5,11.1,80.7,5.359,100,16.67,rain,0,0,64.2,40.6,220.6,1000.4,87.5,16.8,251.6,21.7,7,,2011-06-18T05:17:37,2011-06-18T22:05:20,0.58,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
Amsterdam,2011-06-19,15.9,12.9,14.1,15.9,12.9,14.1,11.2,82.8,6.202,100,16.67,rain,0,0,57.4,40.4,263.4,1006.9,92.6,19,237.3,20.3,6,,2011-06-19T05:17:40,2011-06-19T22:05:41,0.62,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
Amsterdam,2011-06-20,18.4,11.7,15.2,18.4,11.7,15.2,11.4,79.3,0.364,100,4.17,rain,0,0,33.2,17.9,236.7,1012.7,84.8,18.9,309.6,26.8,8,,2011-06-20T05:17:47,2011-06-20T22:05:58,0.65,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
Amsterdam,2011-06-21,19.9,14.5,16.8,19.9,14.5,16.8,13,79.3,0.844,100,12.5,rain,0,0,53.5,36.3,231.6,1011.4,91.6,18.1,267,22.9,8,,2011-06-21T05:17:56,2011-06-21T22:06:13,0.68,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
Amsterdam,2011-06-22,16.4,13.8,15.4,16.4,13.8,15.4,10.8,74.3,2.328,100,4.17,rain,0,0,55.8,33.7,218.6,1010.4,77.4,25.2,217.2,18.9,6,,2011-06-22T05:18:09,2011-06-22T22:06:24,0.71,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
Amsterdam,2011-06-23,17.5,13.9,15.5,17.5,13.9,15.5,11.6,78.1,5.992,100,8.33,rain,0,0,50.3,31,244.5,1013.2,80.3,22,256.2,22.2,6,,2011-06-23T05:18:25,2011-06-23T22:06:32,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
Amsterdam,2011-06-24,17,12.2,14.3,17,12.2,14.3,9.7,74.1,1.348,100,8.33,rain,0,0,44,30.5,274.8,1020.3,81.2,32.1,260.3,22.6,7,,2011-06-24T05:18:44,2011-06-24T22:06:36,0.78,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
Amsterdam,2011-06-25,16.7,12.2,14.2,16.7,12.2,14.2,12.6,90.6,4.117,100,8.33,rain,0,0,34.7,23.1,215,1021.6,99.6,12.4,120.1,10.4,3,,2011-06-25T05:19:06,2011-06-25T22:06:38,0.81,"Rain, Overcast",Cloudy skies throughout the day with rain in the morning and afternoon.,rain,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
Amsterdam,2011-06-26,22.9,16.3,19.3,22.9,16.3,19.3,16.3,83.6,0.387,100,4.17,rain,0,0,33.6,19.9,226.9,1022.6,70.6,13.7,324.9,28.1,9,,2011-06-26T05:19:31,2011-06-26T22:06:36,0.84,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
Amsterdam,2011-06-27,29.9,17.2,23.8,30.3,17.2,24.1,16.9,67.7,0,0,0,,0,0,34,23.5,128.7,1017.6,2.2,21,341.4,29.5,9,,2011-06-27T05:19:59,2011-06-27T22:06:31,0.87,Clear,Clear conditions throughout the day.,clear-day,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
Amsterdam,2011-06-28,31.6,20.3,24.6,34.3,20.3,25.1,19.1,72.5,0.561,100,8.33,rain,0,0,48,27.6,124.7,1013.6,67.9,20.7,204.7,17.7,7,,2011-06-28T05:20:30,2011-06-28T22:06:22,0.9,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
Amsterdam,2011-06-29,19.9,13.1,17.2,19.9,13.1,17.2,14.8,86.3,12.301,100,12.5,rain,0,0,50,27,309.9,1017.8,83,15.7,269,23.1,9,,2011-06-29T05:21:04,2011-06-29T22:06:11,0.94,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"06260099999,06348099999,06249099999,06240099999,06269099999,06257099999"
